CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM191100026919,W CHARLESTON BLVD,,W CHARLESTON BLVD,SHADOW LN,,SHADOW LN,2019-11-06T00:00:00.000,1627,LAS VEGAS,CLARK,CLARK,664912.1737,4003128.25599999
LVM210800130567,PIONEER AVE,,PIONEER AVE,S DECATUR BLVD,,S DECATUR BLVD,2021-08-31T00:00:00.000,727,LAS VEGAS,CLARK,CLARK,661246.0952,3999645.70109999
ELPD2019-06185,SR225,,SR225,IR80 E,,IR80 E,2019-03-16T00:00:00.000,1340,ELKO,ELKO,ELKO,602150.875,4521185.0
RPD23-1870,SUTRO ST,,SUTRO ST,E 9TH ST,,E 9TH ST,2023-01-30T00:00:00.000,1741,RENO,WASHOE,WASHOE,259495.0377,4380247.2386
LVM210600066110,S RAINBOW BLVD,,S RAINBOW BLVD,W OAKEY BLVD,,W OAKEY BLVD,2021-06-15T00:00:00.000,101,LAS VEGAS,CLARK,CLARK,658030.188799999,4002194.26989999
HP22-21136,WOODS CANYON PL,,WOODS CANYON PL,SILVER SPRINGS PKWY,,SILVER SPRINGS PKWY,2022-10-29T00:00:00.000,1105,HENDERSON,CLARK,CLARK,672944.5432,3991141.0226
HP21-03235,N PECOS RD,,N PECOS RD,MACHADO DR,,MACHADO DR,2021-02-22T00:00:00.000,1206,HENDERSON,CLARK,CLARK,671115.7527,3991296.4286
LVM221100079517,E FLAMINGO RD,,E FLAMINGO RD,OTHER,ALGONQUIN DR,OTHER,2022-11-21T00:00:00.000,1953,LAS VEGAS,CLARK,CLARK,668016.5164,3998279.9832
NLPD2208030014388,MCDANIEL ST,,MCDANIEL ST,HUNKINS DR,,HUNKINS DR,2022-08-03T00:00:00.000,1050,NORTH LAS VEGAS,CLARK,CLARK,668961.445199999,4007507.8728
LVM200500021731,W CHARLESTON BLVD,,W CHARLESTON BLVD,S RANCHO DR,,S RANCHO DR,2020-05-05T00:00:00.000,1023,LAS VEGAS,CLARK,CLARK,664311.784799999,4003116.87219999
RPD20-8769,OLD VIRGINIA RD,,OLD VIRGINIA RD,ARTISAN MEANS WAY,,ARTISAN MEANS WAY,2020-05-21T00:00:00.000,2120,RENO,WASHOE,WASHOE,262091.808199999,4368770.2563
LVM230600125568,E DESERT INN RD,,E DESERT INN RD,AYITA CIR,,AYITA CIR,2023-06-27T00:00:00.000,1630,LAS VEGAS,CLARK,CLARK,668775.6775,3999980.3475
SPPD22-7548,15TH ST,,15TH ST,ROCK BLVD,,ROCK BLVD,2022-09-22T00:00:00.000,658,SPARKS,WASHOE,WASHOE,262650.867999999,4380789.00689999
LVM221000037169,N RAMPART BLVD,,N RAMPART BLVD,TOURNAMENT HILLS DR,,TOURNAMENT HILLS DR,2022-10-10T00:00:00.000,723,LAS VEGAS,CLARK,CLARK,653984.4598,4005991.09479999
LVM210600060930,S DURANGO DR,,S DURANGO DR,W AGATE AVE,,W AGATE AVE,2021-06-13T00:00:00.000,2130,LAS VEGAS,CLARK,CLARK,655071.3968,3987832.9195
DCSO20SO15435,MARY JO DR,,MARY JO DR,LONG VALLEY RD,,LONG VALLEY RD,2020-06-10T00:00:00.000,1140,,DOUGLAS,DOUGLAS,263081.7275,4307147.0482
