CrashNum,Street1,Street1Other,Street1Located,Street2,Street2Other,Street2Located,CrashDate,CrashTime,City,County,CountyLocated,X,Y
LVM220900077127,RANCHO RD,,SR599N,OTHER,W BONANZA,BONANZA RD,2022-09-19T00:00:00.000,1902,LAS VEGAS,CLARK,CLARK,664065.9077,4005148.421
NHP190601439,US95,,US95,OTHER,IR15NB TOGO US95SB RAMP,OTHER,2019-06-18T00:00:00.000,2015,RENO,CLARK,CLARK,665422.393199999,4004956.15069999
RPD20-22894,TERMINAL WAY,,TERMINAL WAY,VILLANOVA DR,,VILLANOVA DR,2020-12-31T00:00:00.000,1736,RENO,WASHOE,WASHOE,261173.2937,4376876.88299999
HP23-02518,SIENA HEIGHTS DR,,SIENA HEIGHTS DR,PANSY PL,,PANSY PL,2023-02-07T00:00:00.000,1514,HENDERSON,CLARK,CLARK,670616.424599999,3986609.15359999
LVM200500058041,S NELLIS BLVD,,S NELLIS BLVD,E SAHARA AVE,,E SAHARA AVE,2020-05-12T00:00:00.000,1314,LAS VEGAS,CLARK,CLARK,674047.358,4001797.58889999
LVM231200099994,W TROPICANA AVE,,W TROPICANA AVE,CAMERON ST,,CAMERON ST,2023-12-29T16:00:00.000,451,LAS VEGAS,CLARK,CLARK,661545.5218,3996629.26979999
LVM190200096431,N RANCHO DR,,N RANCHO DR,W LAKE MEAD BLVD,,W LAKE MEAD BLVD,2019-02-21T00:00:00.000,2037,LAS VEGAS,CLARK,CLARK,662195.003499999,4007556.7982
LVM220800072453,N LAMB BLVD,,N LAMB BLVD,OTHER,E CHARLESTON BLVD,SR159,2022-08-18T00:00:00.000,1036,LAS VEGAS,CLARK,CLARK,672688.2679,4003309.25789999
NHP220700855,CASINO CENTER BLVD,,CASINO CENTER BLVD,OTHER,N 4TH STREET,N 4TH ST,2022-07-13T00:00:00.000,913,LAS VEGAS,CLARK,CLARK,667158.995099999,4004956.37639999
RPD23-12169,CASAZZA DR,,CASAZZA DR,LOCUST ST,,LOCUST ST,2023-07-12T00:00:00.000,741,RENO,WASHOE,WASHOE,259221.724999999,4376835.75909999
LVM230500091627,S 4TH ST,,S 4TH ST,FREMONT ST,,FREMONT ST,2023-05-19T00:00:00.000,350,LAS VEGAS,CLARK,CLARK,667106.462299999,4004334.421
LVM210800098998,SPRING MOUNTAIN RD,,SPRING MOUNTAIN RD,WILMOT ST,,WILMOT ST,2021-08-23T00:00:00.000,1951,LAS VEGAS,CLARK,CLARK,661493.835799999,3999447.1018
LVM191000063374,N LAMB BLVD,,N LAMB BLVD,E LAKE MEAD BLVD,,E LAKE MEAD BLVD,2019-10-14T00:00:00.000,614,LAS VEGAS,CLARK,CLARK,672615.227099999,4007365.72839999
RPD20-837,TERMINAL WY,,TERMINAL WY,VILLANOVA DR,,VILLANOVA DR,2020-01-13T00:00:00.000,652,RENO,WASHOE,WASHOE,261174.280199999,4376907.3548
SPPD19-7702,PYRAMID WY,,PYRAMID WY,C ST,,C ST,2019-08-29T00:00:00.000,1928,,,,,
SPPD21-4861,PRATER WAY,,PRATER WAY,VICTORIAN AVE,,VICTORIAN AVE WESTBOUND,2021-06-12T00:00:00.000,337,SPARKS,WASHOE,WASHOE,261347.476999999,4379909.87969999
CCSO2022-1743,S SALIMAN RD,,S SALIMAN RD,DEPOT ST,,DEPOT ST,2022-03-21T00:00:00.000,2157,CARSON CITY,CARSON CITY,CARSON CITY,262286.230899999,4337932.04719999
LVM200900097261,S RAINBOW BLVD,,S RAINBOW BLVD,SPRING MOUNTAIN RD,,SPRING MOUNTAIN RD,2020-09-22T00:00:00.000,1003,,CLARK,CLARK,658112.112099999,3999322.70289999
LVM221100050078,E SAHARA AVE,,E SAHARA AVE,6TH ST,,6TH ST,2022-11-14T00:00:00.000,830,LAS VEGAS,CLARK,CLARK,666762.582899999,4001500.36419999
RPD23-11280,SAINT LAWRENCE AVE,,SAINT LAWRENCE AVE,TAHOE ST,,TAHOE ST,2023-06-28T00:00:00.000,1609,RENO,WASHOE,WASHOE,258411.758,4378034.2069
LVM220100000165,S JONES BLVD,,S JONES BLVD,W HARMON AVE,HARMON BLVD,W HARMON AVE,2022-01-01T00:00:00.000,22,LAS VEGAS,CLARK,CLARK,659770.3026,3997296.402
NHP220700070,IR15S,IR15,IR15S,SR592 TO IR15S INT38,IR15/FLAMINGO RD SB ON RAMP,SR592 TO IR15S INT38,2022-07-02T00:00:00.000,2328,LAS VEGAS,CLARK,CLARK,663737.200899999,3997678.4425
LVM210500081872,S LAMB BLVD,,S LAMB BLVD,E CHARLESTON BLVD,,E CHARLESTON BLVD,2021-05-18T00:00:00.000,739,LAS VEGAS,CLARK,CLARK,672684.174499999,4003172.7729
LVM190600085619,W WINDMILL LN,,W WINDMILL LN,S JONES BLVD,,S JONES BLVD,2019-06-18T00:00:00.000,1612,LAS VEGAS,CLARK,CLARK,659838.7559,3990075.39619999
LVM220100019714,E CHARLESTON BLVD,,SR159,OTHER,PECOS,PECOS RD,2022-01-05T00:00:00.000,1341,LAS VEGAS,CLARK,CLARK,670807.310999999,4003234.62739999
LVM231000045181,OTHER,BOULDER HWY,SR582S/BOULDER HWY,OTHER,E SAHARA AVE,E SAHARA AVE,2023-10-13T00:00:00.000,2148,LAS VEGAS,CLARK,CLARK,670826.855399999,4001734.30839999
SPPD20-4338,SULLIVAN LN,,SULLIVAN LN,OTHER,,OTHER,2020-06-21T00:00:00.000,1217,SPARKS,WASHOE,WASHOE,261872.3837,4381289.50889999
LVM190100079724,W TROPICANA AVE,,W TROPICANA AVE,S RAINBOW BLVD,,S RAINBOW BLVD,2019-01-17T00:00:00.000,1524,LAS VEGAS,CLARK,CLARK,658449.7,3996455.0424
LVM221100106573,PAWNEE DR,,PAWNEE DR,NAHATAN WAY,,NAHATAN WAY,2022-11-28T00:00:00.000,1743,LAS VEGAS,CLARK,CLARK,668416.0202,3999892.2333
NLPD2201280001681,E CHEYENNE AVE,,E CHEYENNE AVE,CIVIC CENTER DR,,CIVIC CENTER DR,2022-01-28T00:00:00.000,2038,NORTH LAS VEGAS,CLARK,CLARK,669000.3025,4009731.752
LVM210700105655,S NELLIS BLVD,,S NELLIS BLVD,E TWAIN AVE,,E TWAIN AVE,2021-07-23T00:00:00.000,2002,LAS VEGAS,CLARK,CLARK,674151.9127,3998901.11559999
NLPD1906090011839,W CAREY AVE,,W CAREY AVE,LEXINGTON ST,,LEXINGTON ST,2019-06-09T00:00:00.000,830,NORTH LAS VEGAS,CLARK,CLARK,665575.2251,4008042.00659999
LVM190300009171,S LAS VEGAS BLVD,,S LAS VEGAS BLVD,BELLAGIO DR,,BELLAGIO DR,2019-03-02T00:00:00.000,2159,LAS VEGAS,CLARK,CLARK,664441.904699999,3997836.42769999
LVM201200114557,W FLAMINGO RD,,W FLAMINGO RD,CALLE SAN REMO,,CALLE SAN REMO,2020-12-27T00:00:00.000,1741,LAS VEGAS,CLARK,CLARK,661617.4253,3998252.01459999
